Country,Year,BFTn,BFTtons
ITALY,1595,2713.46,461.29
ITALY,1596,316.05,53.73
ITALY,1599,18824.28,3200.13
ITALY,1600,5746.21,976.86
ITALY,1601,2219.91,377.38
ITALY,1602,15973.36,2715.47
ITALY,1603,5500.52,935.09
ITALY,1604,8816.85,1498.86
ITALY,1605,11964.33,2033.94
ITALY,1606,5905.32,1003.90
ITALY,1607,13670.12,2323.92
ITALY,1608,3341.22,568.01
ITALY,1609,1481.74,251.90
ITALY,1610,2423.39,411.98
ITALY,1611,1940.66,329.91
ITALY,1612,4382.45,745.02
ITALY,1613,8420.71,1431.52
ITALY,1618,7877.36,1339.15
ITALY,1619,1865.98,317.22
ITALY,1620,23252.19,3952.87
ITALY,1621,29188.89,4962.11
ITALY,1622,24520.71,4168.52
ITALY,1623,17665.08,3003.06
ITALY,1624,23529.27,3999.98
ITALY,1625,26880.24,4569.64
ITALY,1626,34144.99,5804.65
ITALY,1627,1490.40,253.37
ITALY,1628,21018.21,3573.10
ITALY,1629,34553.04,5874.02
ITALY,1630,10161.13,1727.39
ITALY,1631,16736.42,2845.19
ITALY,1632,12736.05,2165.13
ITALY,1633,12589.93,2140.29
ITALY,1634,32874.31,5588.63
ITALY,1635,11780.33,2002.66
ITALY,1636,9767.15,1660.42
ITALY,1637,17910.78,3044.83
ITALY,1638,31837.41,5412.36
ITALY,1640,7197.65,1223.60
ITALY,1641,4437.65,754.40
ITALY,1642,5218.02,887.06
ITALY,1643,5502.68,935.46
ITALY,1644,11884.24,2020.32
ITALY,1645,12474.12,2120.60
ITALY,1646,18605.65,3162.96
ITALY,1647,8958.64,1522.97
ITALY,1648,7897.93,1342.65
ITALY,1649,8573.32,1457.46
ITALY,1650,11707.81,1990.33
ITALY,1651,6196.47,1053.40
ITALY,1652,11222.92,1907.90
ITALY,1653,12366.96,2102.38
ITALY,1654,16041.55,2727.06
ITALY,1655,9793.13,1664.83
ITALY,1656,7892.52,1341.73
ITALY,1657,14413.69,2450.33
ITALY,1658,8752.99,1488.01
ITALY,1659,17911.86,3045.02
ITALY,1660,11862.99,2016.71
ITALY,1661,8118.53,1380.15
ITALY,1662,12762.74,2169.67
ITALY,1663,7374.00,1253.58
ITALY,1664,13881.95,2359.93
ITALY,1665,13579.20,2308.46
ITALY,1666,6732.24,1144.48
ITALY,1667,3954.00,672.18
ITALY,1668,3688.00,626.96
ITALY,1669,5774.00,981.58
ITALY,1670,4031.21,685.31
ITALY,1671,5800.82,986.14
ITALY,1672,14200.42,2414.07
ITALY,1673,4756.98,808.69
ITALY,1674,2889.65,491.24
ITALY,1675,4947.00,840.99
ITALY,1676,4710.00,800.70
ITALY,1677,6195.00,1053.15
ITALY,1678,5150.00,875.50
ITALY,1679,6861.00,1166.37
ITALY,1680,7193.00,1222.81
ITALY,1681,8143.00,1384.31
ITALY,1682,1335.00,226.95
ITALY,1683,2343.00,398.31
ITALY,1684,2085.00,354.45
ITALY,1685,5220.00,887.40
ITALY,1686,2944.00,500.48
ITALY,1687,3485.00,592.45
ITALY,1688,2172.20,369.27
ITALY,1689,4149.42,705.40
