Investigator,Contact_Person,Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days/Area
ICCAT_GBYP,A_DiNatale,120119,BFT,105,,E_ATL,2012-08-18,2012-10-07,51
ICCAT_GBYP,A_DiNatale,120119,BFT,105,,W_MED,2012-10-08,2012-10-08,1
ICCAT_GBYP,A_DiNatale,120119,BFT,105,,E_ATL,2012-10-09,2012-10-11,3
ICCAT_GBYP,A_DiNatale,120121,BFT,107,,E_ATL,2012-08-07,2013-01-13,160
ICCAT_GBYP,A_DiNatale,120121,BFT,107,,SE_ATL,2013-01-14,2013-02-10,28
ICCAT_GBYP,A_DiNatale,120121,BFT,107,,E_ATL,2013-02-11,2013-07-04,144
ICCAT_GBYP,A_DiNatale,120121,BFT,107,,SE_ATL,2013-07-05,2013-07-22,18
ICCAT_GBYP,A_DiNatale,120121,BFT,107,,E_ATL,2013-07-23,2013-07-31,9
ICCAT_GBYP,A_DiNatale,120121,BFT,107,,SE_ATL,2013-08-01,2013-08-02,2
ICCAT_GBYP,A_DiNatale,120123,BFT,105,,E_ATL,2012-08-18,2012-10-01,45
ICCAT_GBYP,A_DiNatale,120125,BFT,107,,E_ATL,2012-08-18,2012-10-19,63
ICCAT_GBYP,A_DiNatale,120126,BFT,106,,E_ATL,2012-08-18,2012-12-12,117
ICCAT_GBYP,A_DiNatale,120127,BFT,101,,SE_ATL,2012-10-13,2012-10-13,1
ICCAT_GBYP,A_DiNatale,120127,BFT,101,,W_MED,2012-10-14,2012-11-15,33
ICCAT_GBYP,A_DiNatale,120127,BFT,101,,SE_ATL,2012-11-16,2013-03-19,124
ICCAT_GBYP,A_DiNatale,120127,BFT,101,,W_MED,2013-03-20,2013-06-10,83
ICCAT_GBYP,A_DiNatale,120128,BFT,127,,SE_ATL,2012-10-16,2012-10-16,1
ICCAT_GBYP,A_DiNatale,120128,BFT,127,,W_MED,2012-10-17,2012-12-03,48
ICCAT_GBYP,A_DiNatale,120128,BFT,127,,SE_ATL,2012-12-04,2013-01-15,43
ICCAT_GBYP,A_DiNatale,130543,BFT,245,,SE_ATL,2013-05-20,2013-06-11,23
ICCAT_GBYP,A_DiNatale,130543,BFT,245,,W_MED,2013-06-12,2013-07-17,36
ICCAT_GBYP,A_DiNatale,130543,BFT,245,,SE_ATL,2013-07-18,2013-07-18,1
ICCAT_GBYP,A_DiNatale,130545,BFT,232,,SE_ATL,2013-05-20,2013-06-02,14
ICCAT_GBYP,A_DiNatale,130546,BFT,240,,SE_ATL,2013-05-20,2013-07-17,59
ICCAT_GBYP,A_DiNatale,130546,BFT,240,,E_ATL,2013-07-18,2013-07-26,9
ICCAT_GBYP,A_DiNatale,130546,BFT,240,,NE_ATL,2013-07-27,2013-07-29,3
ICCAT_GBYP,A_DiNatale,130546,BFT,240,,E_ATL,2013-07-30,2013-10-07,70
ICCAT_GBYP,A_DiNatale,130547,BFT,235,,SE_ATL,2013-05-20,2013-06-19,31
ICCAT_GBYP,A_DiNatale,130547,BFT,235,,E_ATL,2013-06-20,2013-07-06,17
ICCAT_GBYP,A_DiNatale,130547,BFT,235,,NE_ATL,2013-07-07,2013-07-24,18
ICCAT_GBYP,A_DiNatale,130548,BFT,227,,SE_ATL,2013-05-20,2013-06-02,14
ICCAT_GBYP,A_DiNatale,130548,BFT,227,,W_MED,2013-06-03,2013-06-13,11
ICCAT_GBYP,A_DiNatale,130548,BFT,227,,SE_ATL,2013-06-14,2013-07-01,18
ICCAT_GBYP,A_DiNatale,130550,BFT,240,,SE_ATL,2013-05-21,2013-05-21,1
ICCAT_GBYP,A_DiNatale,130550,BFT,240,,W_MED,2013-05-22,2013-07-03,43
ICCAT_GBYP,A_DiNatale,130550,BFT,240,,SE_ATL,2013-07-04,2013-07-19,16
ICCAT_GBYP,A_DiNatale,130551,BFT,212,,SE_ATL,2013-05-21,2013-05-22,2
ICCAT_GBYP,A_DiNatale,130551,BFT,212,,W_MED,2013-05-23,2013-09-06,107
ICCAT_GBYP,A_DiNatale,130552,BFT,220,,SE_ATL,2013-05-21,2013-05-27,7
ICCAT_GBYP,A_DiNatale,130552,BFT,220,,W_MED,2013-05-28,2013-06-01,5
ICCAT_GBYP,A_DiNatale,130553,BFT,105,,W_MED,2013-07-11,2013-11-02,115
ICCAT_GBYP,A_DiNatale,130554,BFT,105,,W_MED,2013-07-11,2013-09-25,77
ICCAT_GBYP,A_DiNatale,130555,BFT,103,,W_MED,2013-07-11,2013-09-01,53
ICCAT_GBYP,A_DiNatale,130556,BFT,102,,W_MED,2013-07-11,2014-01-03,177
ICCAT_GBYP,A_DiNatale,130558,BFT,100,,W_MED,2013-07-11,2013-09-14,66
ICCAT_GBYP,A_DiNatale,130560,BFT,122,,SE_ATL,2013-10-13,2013-10-14,2
ICCAT_GBYP,A_DiNatale,130560,BFT,122,,W_MED,2013-10-15,2013-12-19,66
ICCAT_GBYP,A_DiNatale,130560,BFT,122,,SE_ATL,2013-12-20,2013-12-20,1
ICCAT_GBYP,A_DiNatale,130561,BFT,59,,E_ATL,2013-07-26,2013-10-29,96
ICCAT_GBYP,A_DiNatale,130562,BFT,60,,E_ATL,2013-07-26,2013-09-06,43
