"Year","Subyear","Area","Age","Catch"
1958,1,2,5,0.475811411101302
1959,1,2,5,1.26236860855968
1960,1,2,5,0.123306779982925
1961,1,2,5,0.275081531936172
1962,1,2,5,0.78626125218257
1963,1,2,5,1.93943900617089
1964,1,2,5,2.35398023871651
1950,2,2,5,1.71759804983793
1951,2,2,5,2.07596964325505
1952,2,2,5,3.00236550284556
1953,2,2,5,0.767498451923427
1954,2,2,5,0.439896405515037
1955,2,2,5,0.347597761615224
1956,2,2,5,0.169777951285173
1957,2,2,5,0.77273237403266
1958,2,2,5,1.64791846387663
1959,2,2,5,5.4573856851359
1960,2,2,5,2.08725302299651
1961,2,2,5,3.50136269431413
1962,2,2,5,7.86888085616491
1963,2,2,5,116.109064451574
1964,2,2,5,220.788772081315
1950,3,2,5,26.8225277436182
1951,3,2,5,49.8102568388845
1952,3,2,5,12.1665321497791
1953,3,2,5,54.4350089033752
1954,3,2,5,45.5183473111226
1955,3,2,5,26.8336535668875
1956,3,2,5,20.7323270703472
1957,3,2,5,29.3223479410377
1958,3,2,5,81.0247830690221
1959,3,2,5,132.709363141178
1960,3,2,5,43.6205176356746
1961,3,2,5,133.946073430897
1962,3,2,5,534.394075849494
1963,3,2,5,720.173746829883
1964,3,2,5,597.091414209206
1950,4,2,5,22.8912896117835
1951,4,2,5,33.261516170068
1952,4,2,5,11.0119331575661
1953,4,2,5,48.9378422485203
1954,4,2,5,34.4131720194778
1955,4,2,5,24.1262961105424
1956,4,2,5,11.5631483883416
1957,4,2,5,26.0992174905103
1958,4,2,5,57.1981556979751
1959,4,2,5,29.9092858723752
1960,4,2,5,16.6966730675817
1961,4,2,5,15.6569199401222
1962,4,2,5,49.5317567667094
1963,4,2,5,91.9500000814536
1964,4,2,5,25.2429496363415
1950,3,3,5,2.00344775893443e-05
1951,3,3,5,2.29728676357814e-05
1952,3,3,5,1.84317193821967e-05
1954,3,3,5,1.30891920250383e-05
1961,3,3,5,1.09521810821749e-05
1962,3,3,5,1.0685054714317e-05
1963,3,3,5,2.40413731072131e-05
1964,3,3,5,2.64455104179345e-05
1950,1,4,5,4.57300216372117
1951,1,4,5,4.06017250971853
1952,1,4,5,6.14190488303232
1953,1,4,5,8.08564557745124
1954,1,4,5,3.58271057355587
1955,1,4,5,3.83593716160986
1956,1,4,5,6.79675870932538
1957,1,4,5,2.71721089085729
1958,1,4,5,2.08181195563452
1959,1,4,5,2.81787151935196
1960,1,4,5,4.10786109514394
1961,1,4,5,4.6867912272207
1962,1,4,5,4.67432960359094
1963,1,4,5,1.45300720222943
1964,1,4,5,4.11253022107047
1950,2,4,5,495.29386350126
1951,2,4,5,332.432214776081
1952,2,4,5,341.206067424343
